FIPS,income
06037408302,85968
06037408503,120721
06037408624,89107
06037480012,84234
06037462500,92743
06037271400,133547
06037271701,93972
06037271801,55417
06037273800,96750
06037276400,158056
06037276500,91667
06037277100,124219
06037293201,64273
06037294810,49952
06037300701,129025
06037301502,50205
06037301601,39053
06037302102,76602
06037143902,110508
06037183620,55909
06037187300,112250
06037189702,96793
06037199110,59395
06037191720,32355
06037197200,59719
06037199900,39184
06037650101,112611
06037574800,70625
06037574902,51108
06037575103,53933
06037575902,44855
06037576401,47083
06037600202,34819
06037600400,64625
06037600602,42143
06037127920,56458
06037572400,95152
06037572800,13500
06037573201,37723
06037573300,40677
06037218210,35436
06037218600,51604
06037218900,41019
06037219300,43103
06037221220,43611
06037221820,12235
06037224010,28082
06037224600,46162
06037535001,41969
06037535002,39960
06037536103,59933
06037536104,49444
06037542103,56089
06037542104,66389
06037542105,48125
06037542106,51496
06037543306,77426
06037550201,67750
06037550202,82009
06037543905,66250
06037544001,78611
06037544002,80625
06037550601,77292
06037550602,87500
06037550901,68388
06037550902,63205
06037551101,54549
06037551102,59407
06037551401,65880
06037551402,79353
06037551501,71656
06037551502,85766
06037552001,86818
06037552002,68600
06037552301,88205
06037552302,66278
06037431200,63750
06037432402,57889
06037432801,23466
06037460000,129393
06037460501,189107
06037131300,71848
06037131400,67730
06037131900,86818
06037132300,49741
06037133000,72864
06037134101,69476
06037480704,82159
06037480803,76156
06037481201,75078
06037482521,67295
06037502301,67238
06037482502,57045
06037501300,76027
06037501700,101579
06037134800,84038
06037134901,74125
06037530801,47885
06037530802,60433
06037531302,41065
06037532302,49219
06037532603,44223
06037533104,38676
06037533201,39878
06037533300,37841
06037533702,43214
06037241400,36667
06037430600,148750
06037242200,28313
06037262302,158571
06037214800,108648
06037221900,17237
06037229300,37468
06037236100,30380
06037241120,35114
06037117303,83931
06037190510,41950
06037192620,40850
06037197410,100556
06037203710,46840
06037577000,70887
06037599000,74028
06037601303,50077
06037602104,51750
06037189500,54265
06037650602,80379
06037650902,90857
06037131200,81929
06037131600,77222
06037132700,64412
06037181300,110508
06037183300,75233
06037183510,75486
06037183810,59906
06037188100,62500
06037189300,174293
06037189800,69616
06037191000,64816
06037191201,45332
06037191710,30085
06037192700,52603
06037194200,168227
06037406901,74571
06037406902,62692
06037407501,68860
06037407502,78984
06037407601,61429
06037462600,148393
06037480500,120521
06037481101,62824
06037481401,47207
06037481902,56836
06037208401,31218
06037208402,45804
06037208501,56974
06037208502,41804
06037208801,33211
06037601600,54607
06037601700,39013
06037602200,80077
06037603101,57188
06037603400,63427
06037620001,124844
06037620002,111688
06037620201,114886
06037232600,42734
06037234000,54722
06037234300,45815
06037434004,64443
06037461501,83387
06037460401,100417
06037910205,65431
06037910302,89290
06037920020,112969
06037920015,145833
06037920023,80580
06037920033,61250
06037920039,126310
06037920041,85147
06037920303,95714
06037920322,110781
06037910603,57824
06037910705,76219
06037920028,119744
06037920032,139514
06037920034,85637
06037920312,79241
06037920330,88571
06037930200,85972
06037540000,59330
06037540902,59907
06037541500,51024
06037542401,48938
06037543201,57805
06037543602,71582
06037551202,73154
06037553602,66069
06037227010,48200
06037228310,44375
06037228800,41250
06037229410,34403
06037231900,33958
06037232120,37555
06037297110,40000
06037574201,108150
06037575002,75648
06037575202,37750
06037576601,55768
06037576802,62240
06037577602,90583
06037600201,35081
06037600801,93125
06037600912,55568
06037601402,62316
06037601502,59239
06037602103,34645
06037602106,46581
06037602600,55882
06037602700,97288
06037602900,47353
06037620101,108170
06037650102,90987
06037650502,118558
06037650603,87600
06037650800,89420
06037670406,186667
06037700700,184393
06037402703,70091
06037403303,77083
06037403702,103438
06037119800,82981
06037120010,49432
06037122200,54250
06037122420,44967
06037404402,69444
06037406300,99770
06037408722,90962
06037533202,54205
06037534404,42841
06037207900,92104
06037208902,34568
06037208904,27250
06037209402,32879
06037211000,127197
06037211120,52342
06037211320,31250
06037213401,33607
06037213402,42766
06037220100,40091
06037221500,29420
06037221710,39212
06037226410,40147
06037228600,48393
06037232110,33203
06037232200,43911
06037234800,58736
06037236000,90790
06037238200,45075
06037239330,32708
06037240200,40286
06037132900,81042
06037133100,52262
06037134104,60582
06037212305,37550
06037301702,56571
06037311400,105000
06037554002,55063
06037550800,82479
06037570301,39361
06037604100,68740
06037573800,116146
06037576801,49982
06037601212,44932
06037650702,127429
06037106604,60350
06037113321,76897
06037541100,59375
06037542800,57270
06037550300,79676
06037553802,41962
06037555102,58262
06037275603,84130
06037278001,109468
06037278102,148182
06037293306,100200
06037293307,51379
06037294301,65870
06037294701,36719
06037294302,55313
06037294421,47917
06037295103,124663
06037296401,92571
06037296402,108929
06037296901,40913
06037296902,52585
06037297201,60574
06037297202,70767
06037301206,63715
06037297601,55246
06037297602,64873
06037300301,114890
06037301205,107159
06037208802,34079
06037209103,29509
06037209104,30078
06037211121,48846
06037211122,50175
06037211201,44353
06037553702,54179
06037554514,91250
06037531901,43944
06037533107,39228
06037533703,58344
06037534201,43586
06037300800,96157
06037310702,45632
06037311700,93750
06037401002,68676
06037541700,71532
06037543400,79875
06037143200,75521
06037128400,72500
06037294900,42150
06037300200,103209
06037218110,44009
06037219500,77147
06037226700,40140
06037231100,31494
06037235201,45341
06037502402,80208
06037503902,106125
06037531701,42899
06037301900,66061
06037400603,80729
06037403402,84906
06037404401,67353
06037407102,73529
06037201110,67059
06037209810,30373
06037212410,46424
06037910501,20608
06037920106,89087
06037401001,117260
06037292000,42135
06037620701,107722
06037621102,179141
06037213320,26759
06037214700,96579
06037216800,91821
06037217200,69817
06037221810,25357
06037222100,53864
06037224700,11576
06037554302,55075
06037554405,56641
06037554406,68839
06037570403,48676
06037571703,45066
06037571704,50438
06037570404,54777
06037571503,89457
06037571504,68138
06037573003,69038
06037573004,41911
06037573601,119020
06037576001,80462
06037576301,39023
06037576302,42721
06037576903,41378
06037576904,52373
06037577504,95929
06037212620,43212
06037577604,99000
06037241001,41563
06037241002,59116
06037241201,48864
06037241202,34662
06037194300,177383
06037209403,27188
06037209520,33168
06037553200,86314
06037553502,66159
06037554403,49413
06037554404,56335
06037554521,81793
06037570003,101500
06037570100,79750
06037570304,51404
06037570601,49506
06037570602,61978
06037703100,93482
06037910403,25074
06037207302,39972
06037207501,60625
06037207502,18594
06037208301,50093
06037208302,38365
06037106407,34327
06037106408,60199
06037106645,113940
06037106646,110734
06037106648,68426
06037106649,87039
06037108201,129688
06037108202,97188
06037109603,56970
06037109604,92500
06037111205,77351
06037111206,114275
06037113101,106000
06037113102,163021
06037113235,89792
06037113237,82024
06037115103,43958
06037115104,54861
06037117201,61335
06037115403,54407
06037115404,66136
06037117101,90750
06037554522,114375
06037554600,76350
06037570001,87162
06037572202,93580
06037572600,65625
06037573002,43825
06037571502,57132
06037571600,19425
06037573202,54617
06037573902,125000
06037576403,38921
06037576501,36742
06037576502,54162
06037576503,57679
06037576901,31406
06037577300,86035
06037600100,35000
06037228210,35969
06037231210,32258
06037231720,36528
06037231800,36765
06037232300,58576
06037235100,87246
06037237710,36029
06037238100,48034
06037240020,38266
06037241110,47090
06037920030,86649
06037910805,105263
06037910809,147639
06037535606,45208
06037534202,32083
06037534900,59333
06037535102,56250
06037535701,52500
06037536000,49773
06037536102,58594
06037536200,59449
06037553503,53615
06037553504,61250
06037554103,82216
06037554104,67159
06037554105,46121
06037554203,46053
06037554204,39878
06037554301,63375
06037265520,104559
06037143700,111985
06037181500,98250
06037183820,46477
06037189600,74760
06037503000,59671
06037503301,98929
06037197300,83843
06037197500,75571
